protocol,cum_tvl,tokens
GMX,118484929423.11499,"8,000,000"
UNISWAP,33616771179.79036,"4,378,188"
SUSHISWAP,80896088287.58098,"4,249,418"
DOPEX,14205474630.904032,"3,863,107"
CURVE-DEX,101801819791.99551,"3,476,796"
RADIANT,9283110820.83692,"3,348,026"
BALANCER,22806618308.320873,"3,090,486"
CAP,1786963644.10704,"2,961,715"
VESTA-FINANCE,7251165537.20463,"2,704,175"
PLUTUSDAO,1328974839.34683,"2,704,175"
AAVE,10176440306.195229,"2,704,175"
DFORCE,31272994473.14697,"2,446,634"
JONES-DAO,2651294899.44482,"2,317,864"
CAMELOT,1278107257.28033,"2,189,094"
DODO,6719147432.804041,"2,189,094"
GAINS-NETWORK,351445320.80717,"1,931,553"
MUX-PROTOCOL,861294581.5451702,"1,931,553"
SPERAX,3474648456.52276,"1,802,783"
BEEFY,13950953262.85391,"1,802,783"
PREMIA,2658211261.54287,"1,802,783"
HOP-PROTOCOL,6700585813.380001,"1,674,013"
STARGATE,36808707162.85133,"1,674,013"
SADDLE-FINANCE,3115424140.4204,"1,545,243"
MYCELIUM,7247176142.92478,"1,158,932"
KYBERSWAP,863845432.54777,"1,158,932"
SYNAPSE,54970282850.44606,"1,030,162"
UMAMI-FINANCE,455404341.17136,"901,392"
ABRACADABRA,57741391096.90198,"901,392"
MULTICHAIN,104780067007.58232,"901,392"
CONVEX-finance,1613066291.4959803,"901,392"
WOOFI,136746618.98821002,"772,621"
APEX-protocol,306019968.60569996,"515,081"
IMPERMAX-FINANCE,2392494745.47351,"515,081"
3XCALIBUR,175435632.85594997,"515,081"
HEGIC,968915478.9648799,"515,081"
SWAPR,3527453979.29273,"515,081"
HUNDRED-FINANCE,8324532634.668189,"386,311"
O3-SWAP,4162938748.7300005,"386,311"
DERI-PROTOCOL,425368897.84887,"386,311"
FUTURESWAP,290610087.77545,"386,311"
QIDAO,340199635.71032,"386,311"
GMD-PROTOCOL,201427960.96229997,"386,311"
HASHFLOW,488968230.83633006,"386,311"
LYRA,56989485.12806,"386,311"
HANDLE.FI,178013411.63783,"386,311"
BUFFER-FINANCE,27315651.39982,"257,540"
BARNBRIDGE,16072643.439819997,"257,540"
THALES,7520318.9028199995,"257,540"
BADGER-dao,4677682122.81958,"75,000"
B.PROTOCOL,308452315.51045,"75,000"
ELK,18283467.225539997,"75,000"
XTOKEN,56308392.368250005,"75,000"
KROMATIKA,55489878.65683,"75,000"
PNETWORK,444864.73049,"75,000"
IZUMI-liquidbox,719752423.57638,"75,000"
RHINO.FI,47478653.13228,"75,000"
YEARN,168150991.04289,"75,000"
OPIUM,10150.97147,"75,000"
ROUTER-PROTOCOL,4517763.302789999,"75,000"
INSUREDAO,12708489.960250001,"75,000"
ANGLE,6619314.339820001,"75,000"
SPHERIUM,7652.706,"75,000"
GAMMA,5937379.9251999995,"75,000"
UNION-protocol,36203134.45983,"75,000"
VELA-exchange,17343463.75217,"75,000"
ZYBERSWAP,27747812.403830003,"75,000"
WEPIGGY,1871264676.76518,"75,000"
CVI-finance,89402600.64338,"75,000"
XY-FINANCE,40101223.133609995,"75,000"
OOKI,11729893.16536,"75,000"
